+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
|         75 |     16 |        NULL |        3 |
|         75 |     17 |        NULL |       13 |
|         75 |     18 |        NULL |        2 |
|         75 |     22 |        NULL |       20 |
|         75 |     24 |        NULL |       21 |
|         75 |     31 |        NULL |       12 |
|         75 |     35 |        NULL |       23 |
|         75 |     36 |        NULL |        8 |
|         75 |     44 |        NULL |       11 |
|         75 |     45 |        NULL |        7 |
|         75 |     47 |        NULL |       24 |
|         75 |     48 |        NULL |        5 |
|         75 |     54 |        NULL |       26 |
|         75 |     56 |        NULL |       18 |
|         75 |     59 |        NULL |       10 |
|         75 |     63 |        NULL |       30 |
|         75 |     79 |        NULL |       32 |
|         75 |     80 |        NULL |        1 |
|         75 |     91 |        NULL |       19 |
|         75 |    129 |        NULL |       28 |
|         78 |      2 |        NULL |        6 |
|         78 |      4 |        NULL |       14 |
|         78 |      5 |        NULL |       27 |
|         78 |      9 |        NULL |        9 |
|         78 |     12 |        NULL |       38 |
|         78 |     15 |        NULL |       15 |
|         78 |     16 |        NULL |        8 |
|         78 |     17 |        NULL |        4 |
|         78 |     19 |        NULL |        1 |
|         78 |     21 |        NULL |       22 |
|         78 |     22 |        NULL |       59 |
|         78 |     24 |        NULL |       36 |
|         78 |     28 |        NULL |       35 |
|         78 |     29 |        NULL |       60 |
|         78 |     32 |        NULL |       39 |
|         78 |     35 |        NULL |       26 |
|         78 |     36 |        NULL |       31 |
|         78 |     37 |        NULL |       29 |
|         78 |     38 |        NULL |       64 |
|         78 |     39 |        NULL |       49 |
|         78 |     42 |        NULL |       17 |
|         78 |     43 |        NULL |       30 |
|         78 |     44 |        NULL |       12 |
|         78 |     46 |        NULL |       19 |
|         78 |     47 |        NULL |       32 |
|         78 |     48 |        NULL |       11 |
|         78 |     49 |        NULL |        7 |
|         78 |     54 |        NULL |       28 |
|         78 |     55 |        NULL |       34 |
|         78 |     56 |        NULL |       16 |
|         78 |     58 |        NULL |       53 |
|         78 |     59 |        NULL |       40 |
|         78 |     61 |        NULL |       46 |
|         78 |     62 |        NULL |       25 |
|         78 |     63 |        NULL |       62 |
|         78 |     71 |        NULL |       58 |
|         78 |     73 |        NULL |       47 |
|         78 |     80 |        NULL |        2 |
|         78 |     82 |        NULL |       63 |
|         78 |     89 |        NULL |       56 |
|         78 |     91 |        NULL |       52 |
|         78 |     98 |        NULL |       61 |
|         78 |    105 |        NULL |        3 |
|         78 |    106 |        NULL |       18 |
|         78 |    109 |        NULL |       50 |
|         78 |    110 |        NULL |       10 |
|         78 |    113 |        NULL |       55 |
|         78 |    114 |        NULL |       43 |
|         78 |    116 |        NULL |       41 |
|         78 |    117 |        NULL |       44 |
|         78 |    137 |        NULL |       42 |
|         78 |    154 |        NULL |       54 |
|         78 |    175 |        NULL |        5 |
|         78 |    177 |        NULL |       24 |
|         78 |    198 |        NULL |       33 |
|         78 |    279 |        NULL |       13 |
|         78 |    318 |        NULL |       21 |
|         78 |    340 |        NULL |       37 |
|         78 |    370 |        NULL |       20 |
|         78 |    407 |        NULL |       57 |
|         78 |    933 |        NULL |       48 |
|         78 |   1403 |        NULL |       45 |
|         78 |   1544 |        NULL |       51 |
|         79 |      1 |        NULL |        7 |
|         79 |      3 |        NULL |        1 |
|         79 |      4 |        NULL |       10 |
|         79 |      5 |        NULL |       17 |
|         79 |      6 |        NULL |        4 |
|         79 |      7 |        NULL |        3 |
|         79 |      9 |        NULL |       27 |
|         79 |     11 |        NULL |        5 |
|         79 |     12 |        NULL |       31 |
|         79 |     13 |        NULL |        2 |
|         79 |     14 |        NULL |        8 |
|         79 |     16 |        NULL |       14 |
|         79 |     17 |        NULL |       11 |
|         79 |     18 |        NULL |        6 |
|         79 |     19 |        NULL |        9 |
|         79 |     21 |        NULL |       15 |
|         79 |     22 |        NULL |       29 |
|         79 |     28 |        NULL |       25 |
|         79 |     32 |        NULL |       28 |
|         79 |     35 |        NULL |       20 |
|         79 |     36 |        NULL |       21 |
|         79 |     42 |        NULL |       12 |
|         79 |     43 |        NULL |       24 |
|         79 |     44 |        NULL |       30 |
|         79 |     46 |        NULL |       13 |
|         79 |     47 |        NULL |       23 |
|         79 |     54 |        NULL |       19 |
|         79 |     58 |        NULL |       26 |
|         79 |     73 |        NULL |       22 |
|         79 |     89 |        NULL |       32 |
|         79 |    116 |        NULL |       18 |
|        129 |      1 |        NULL |       11 |
