+---------------+-----------------------------------------------------------------------------------+--------+-------+
| tournament_id | name                                                                              | region | major |
|          1213 | TSL Season 3                                                                      | NULL   | 0     |
|          1256 | IPTL 2012 Season 1                                                                | NULL   | 1     |
|          1366 | NASL Season 4 Main Bracket                                                        | NULL   | 0     |
|          1372 | NASL Season 4 Wildcards                                                           | NULL   | 0     |
|          1416 | IPL Season 5 Amateur Championship                                                 | NULL   | 0     |
|          1417 | IPL Season 6 Qualifiers America Regional                                          | NULL   | 0     |
|          1418 | IPL Season 6 Qualifiers America Satellite                                         | NULL   | 0     |
|          1419 | IPL Season 6 Qualifiers Europe Regional                                           | NULL   | 0     |
|          1420 | IPL Season 6 Qualifiers Europe Satellite                                          | NULL   | 0     |
|          1421 | IPL Season 6 Qualifiers Korea Regional                                            | NULL   | 0     |
|          1422 | IPL Season 6 Qualifiers Korea Satellite                                           | NULL   | 0     |
|          1423 | IPL Season 6 Qualifiers International Regional 1                                  | NULL   | 0     |
|          1424 | IPL Season 6 Qualifiers International Regional 2                                  | NULL   | 0     |
|          1425 | IPL Season 6 Qualifiers International Satellite                                   | NULL   | 0     |
|          1434 | NASL Season 4 Division 1                                                          | NULL   | 0     |
|          1448 | NASL Season 4 Division 2                                                          | NULL   | 0     |
|          1490 | NASL Season 4 Division 3                                                          | NULL   | 0     |
|          1522 | NASL Season 4 Division 4                                                          | NULL   | 0     |
|          1543 | NASL Season 4 Division 5                                                          | NULL   | 0     |
|          1570 | IPL Season 6 Qualifiers Amateur Regional                                          | NULL   | 0     |
|          1572 | IPL Season 5 America Regional                                                     | NULL   | 0     |
|          1573 | IPL Season 5 America Satellite 1                                                  | NULL   | 0     |
|          1574 | IPL Season 5 America Satellite 2                                                  | NULL   | 0     |
|          1575 | IPL Season 5 Europe Regional                                                      | NULL   | 0     |
|          1576 | IPL Season 5 Europe Satellite 1                                                   | NULL   | 0     |
|          1577 | IPL Season 5 Europe Satellite 2                                                   | NULL   | 0     |
|          1578 | IPL Season 5 Korea Regional                                                       | NULL   | 0     |
|          1579 | IPL Season 5 China Regional                                                       | NULL   | 0     |
|          1580 | IPL Season 5 Asia Satellite 1                                                     | NULL   | 0     |
|          1581 | IEM Season VI World Championship                                                  | NULL   | 0     |
|          1598 | NASL Season 4 Open Tournament                                                     | NULL   | 0     |
|          1646 | IEM Season V World Championship                                                   | NULL   | 0     |
|          1658 | Dreamhack 2012 Stockholm                                                          | NULL   | 0     |
|          1682 | Dreamhack 2012 Summer                                                             | NULL   | 1     |
|          1683 | NASL Season 4 Qualifiers 1                                                        | NULL   | 0     |
|          1685 | NASL Season 4 Qualifiers 2                                                        | NULL   | 0     |
|          1686 | NASL Season 4 Qualifiers 3                                                        | NULL   | 0     |
|          1687 | NASL Season 4 Qualifiers 4                                                        | NULL   | 0     |
|          1785 | IPL Season 5 International Qualifier                                              | NULL   | 0     |
|          1786 | IPL Season 5 International Satellite                                              | NULL   | 0     |
|          1796 | go4sc2 Cup Europe #260                                                            | NULL   | 0     |
|          1801 | Dreamhack 2012 Valencia                                                           | NULL   | 1     |
|          1850 | Dreamhack 2012 Bucharest                                                          | NULL   | 1     |
|          1909 | WCG 2012 Main Tournament                                                          | NULL   | 0     |
|          1915 | Dreamhack 2012 Winter                                                             | NULL   | 0     |
|          1931 | WCG 2012 Pan-American Championship                                                | NULL   | 0     |
|          1941 | WCS 2012 World Championship                                                       | NULL   | 1     |
|          1958 | WCS 2012 South America Finals                                                     | NULL   | 0     |
|          1981 | Dreamhack 2011 Winter Playoffs                                                    | NULL   | 0     |
|          2011 | Dreamhack 2011 Winter Online Qualifiers 1                                         | NULL   | 0     |
|          2012 | Dreamhack 2011 Winter Online Qualifiers 2                                         | NULL   | 0     |
|          2013 | Dreamhack 2011 Winter Online Qualifiers 3                                         | NULL   | 0     |
|          2014 | Dreamhack 2011 Winter Online Qualifiers 4                                         | NULL   | 0     |
|          2031 | Dreamhack 2011 Valencia                                                           | NULL   | 0     |
|          2035 | Dreamhack 2011 Summer                                                             | NULL   | 0     |
|          2051 | Dreamhack 2011 Stockholm                                                          | NULL   | 0     |
|          2056 | Dreamhack 2010 Winter                                                             | NULL   | 0     |
|          2072 | MLG Pro Circuit 2011 Orlando                                                      | NULL   | 0     |
|          2103 | WCG 2012 China                                                                    | NULL   | 0     |
|          2125 | WCG 2012 Poland                                                                   | NULL   | 0     |
|          2126 | WCG 2012 Russia                                                                   | NULL   | 0     |
|          2127 | WCG 2012 Korea                                                                    | NULL   | 1     |
|          2157 | NASL Season 3 Main Bracket                                                        | NULL   | 0     |
|          2163 | NASL Season 3 Division 1                                                          | NULL   | 0     |
|          2164 | NASL Season 3 Division 2                                                          | NULL   | 0     |
|          2165 | NASL Season 3 Division 3                                                          | NULL   | 0     |
|          2166 | NASL Season 3 Division 4                                                          | NULL   | 0     |
|          2167 | NASL Season 3 Division 5                                                          | NULL   | 0     |
|          2213 | NASL Season 3                                                                     | NULL   | 1     |
|          2214 | NASL Season 3 Wildcards                                                           | NULL   | 0     |
|          2215 | NASL Season 3 Open Tournament                                                     | NULL   | 0     |
|          2218 | NASL Season 3 Qualifier                                                           | NULL   | 0     |
|          2243 | MLG Pro Circuit 2012 Winter Arena Qualifiers North America                        | NULL   | 0     |
|          2268 | MLG Pro Circuit 2012 Winter Arena Qualifiers Europe                               | NULL   | 0     |
|          2283 | MLG Pro Circuit 2012 Winter Arena Qualifiers Korea                                | NULL   | 0     |
|          2320 | MLG Pro Circuit 2012 Winter Championship                                          | NULL   | 1     |
|          2352 | NASL Season 2 Main Bracket                                                        | NULL   | 0     |
|          2358 | NASL Season 2 Playoffs                                                            | NULL   | 0     |
|          2374 | NASL Season 2 Division 1                                                          | NULL   | 0     |
|          2383 | NASL Season 2 Division 2                                                          | NULL   | 0     |
|          2392 | NASL Season 2 Division 3                                                          | NULL   | 0     |
|          2401 | NASL Season 2 Division 4                                                          | NULL   | 0     |
|          2410 | NASL Season 2 Division 5                                                          | NULL   | 0     |
|          2419 | NASL Season 2 Open Tournament                                                     | NULL   | 0     |
|          2425 | NASL Season 2 Semi-open Tournament                                                | NULL   | 0     |
|          2442 | NASL Season 2 Qualifiers                                                          | NULL   | 0     |
|          2452 | MLG Pro Circuit 2012 Spring Arena #2 Qualifiers                                   | NULL   | 1     |
|          2493 | MLG Pro Circuit 2012 Spring Arena #1                                              | NULL   | 0     |
|          2562 | MLG Pro Circuit 2012 Spring Championship                                          | NULL   | 1     |
|          2564 | MLG KeSPA Exhibition Tournament                                                   | NULL   | 0     |
|          2600 | NASL Season 1 Main Bracket                                                        | NULL   | 0     |
|          2606 | NASL Season 1 Playoffs                                                            | NULL   | 0     |
|          2622 | NASL Season 1 Division A                                                          | NULL   | 0     |
|          2623 | NASL Season 1 Division B                                                          | NULL   | 0     |
|          2624 | NASL Season 1 Division C                                                          | NULL   | 0     |
|          2625 | NASL Season 1 Division D                                                          | NULL   | 0     |
|          2626 | NASL Season 1 Division E                                                          | NULL   | 0     |
|          2672 | NASL Season 1 Open Tournament                                                     | NULL   | 0     |
|          2678 | MLG Pro Circuit 2012 Summer Arena Qualifiers                                      | NULL   | 1     |
|          2754 | NASTL                                                                             | NULL   | 1     |
|          2808 | MLG Pro Circuit 2012 Summer Championship                                          | NULL   | 1     |
|          2842 | NASL Sunday Showdown                                                              | NULL   | 0     |
|          2857 | NASL Gauntlet                                                                     | NULL   | 0     |
|          2904 | MSI Pro Cup #1                                                                    | NULL   | 0     |
|          2905 | MSI Pro Cup #2                                                                    | NULL   | 0     |
|          2909 | MSI Pro Cup #6                                                                    | NULL   | 0     |
|          2910 | MSI Pro Cup #7                                                                    | NULL   | 0     |
|          2911 | MSI Pro Cup #8                                                                    | NULL   | 0     |
|          2912 | MSI Pro Cup #9                                                                    | NULL   | 0     |
|          2916 | MSI Pro Cup #13                                                                   | NULL   | 0     |
|          2928 | MSI Pro Cup #3 Qualifier                                                          | NULL   | 0     |
|          2936 | MSI Pro Cup #4 Qualifier                                                          | NULL   | 0     |
|          2949 | MSI Pro Cup #5 Qualifier                                                          | NULL   | 0     |
|          2958 | MLG Pro Circuit 2012 MvP Invitational                                             | NULL   | 1     |
|          2982 | MSI Pro Cup #10 Qualifiers                                                        | NULL   | 0     |
|          2996 | MSI Pro Cup #11 Qualifiers                                                        | NULL   | 0     |
|          3002 | Francophone Championship Season 2                                                 | NULL   | 0     |
|          3015 | MSI Pro Cup #12 Qualifier                                                         | NULL   | 0     |
|          3033 | Francophone Championship Season 1                                                 | NULL   | 0     |
|          3039 | MSI Pro Cup Worldwide Main Tournament                                             | NULL   | 0     |
|          3048 | MSI Pro Cup Worldwide Qualifiers European                                         | NULL   | 0     |
|          3055 | MSI Pro Cup Worldwide Qualifiers American                                         | NULL   | 0     |
|          3062 | MSI Pro Cup Worldwide Qualifiers Asian                                            | NULL   | 0     |
|          3069 | MSI Pro Cup Worldwide Qualifiers Open #1                                          | NULL   | 0     |
|          3070 | MSI Pro Cup Worldwide Qualifiers Open #2                                          | NULL   | 0     |
|          3082 | ZOTAC Cup Monthly Final 2011 November                                             | NULL   | 0     |
|          3084 | ZOTAC Cup North America #32                                                       | NULL   | 0     |
|          3085 | ZOTAC Cup Europe #87                                                              | NULL   | 0     |
|          3086 | ZOTAC Cup North America #31                                                       | NULL   | 0     |
|          3087 | ZOTAC Cup Europe #86                                                              | NULL   | 0     |
|          3088 | ZOTAC Cup North America #30                                                       | NULL   | 0     |
|          3089 | ZOTAC Cup Europe #85                                                              | NULL   | 0     |
|          3090 | ZOTAC Cup Europe #63                                                              | NULL   | 0     |
|          3091 | ZOTAC Cup Europe #64                                                              | NULL   | 0     |
|          3092 | ZOTAC Cup Europe #65                                                              | NULL   | 0     |
|          3093 | ZOTAC Cup Europe #66                                                              | NULL   | 0     |
|          3094 | ZOTAC Cup Europe #67                                                              | NULL   | 0     |
|          3095 | ZOTAC Cup Europe #68                                                              | NULL   | 0     |
|          3096 | ZOTAC Cup Europe #69                                                              | NULL   | 0     |
|          3097 | ZOTAC Cup Europe #70                                                              | NULL   | 0     |
|          3098 | ZOTAC Cup Europe #71                                                              | NULL   | 0     |
|          3099 | ZOTAC Cup Europe #72                                                              | NULL   | 0     |
|          3100 | ZOTAC Cup Europe #73                                                              | NULL   | 0     |
|          3101 | ZOTAC Cup Europe #74                                                              | NULL   | 0     |
|          3102 | ZOTAC Cup Europe #75                                                              | NULL   | 0     |
|          3103 | ZOTAC Cup Europe #76                                                              | NULL   | 0     |
|          3104 | ZOTAC Cup Europe #77                                                              | NULL   | 0     |
|          3105 | ZOTAC Cup Europe #78                                                              | NULL   | 0     |
|          3106 | ZOTAC Cup Europe #79                                                              | NULL   | 0     |
|          3107 | ZOTAC Cup Europe #80                                                              | NULL   | 0     |
|          3108 | ZOTAC Cup Europe #81                                                              | NULL   | 0     |
|          3109 | ZOTAC Cup Europe #82                                                              | NULL   | 0     |
|          3110 | ZOTAC Cup Europe #83                                                              | NULL   | 0     |
|          3111 | ZOTAC Cup Europe #84                                                              | NULL   | 0     |
|          3112 | ZOTAC Cup North America #9                                                        | NULL   | 0     |
|          3113 | ZOTAC Cup North America #10                                                       | NULL   | 0     |
|          3114 | ZOTAC Cup North America #11                                                       | NULL   | 0     |
|          3115 | ZOTAC Cup North America #12                                                       | NULL   | 0     |
|          3116 | ZOTAC Cup North America #13                                                       | NULL   | 0     |
|          3117 | ZOTAC Cup North America #14                                                       | NULL   | 0     |
|          3118 | ZOTAC Cup North America #15                                                       | NULL   | 0     |
|          3119 | ZOTAC Cup North America #16                                                       | NULL   | 0     |
