+--------+------+------------+------------+
| player | team | start_date | end_date   |
|    281 |   51 | 2012-08-16 | NULL       |
|    282 |   39 | 2010-05-23 | 2011-06-11 |
|    282 |   38 | 2011-06-11 | 2012-05-15 |
|    282 |   39 | 2012-05-15 | NULL       |
|    283 |   34 | 2010-04-09 | 2010-09-10 |
|    283 |   93 | 2010-09-18 | 2012-07-02 |
|    283 |   91 | 2012-07-02 | 2012-12-12 |
|    283 |   27 | 2013-05-31 | NULL       |
|    284 |   23 | 2010-08-07 | 2011-01-12 |
|    285 |   41 | 2012-01-14 | NULL       |
|    289 |   30 | 2011-01-10 | 2011-01-21 |
|    290 |   27 | 2011-01-10 | NULL       |
|    291 |   56 | 2010-12-02 | 2012-05-03 |
|    291 |  107 | 2012-06-01 | 2012-12-27 |
|    292 |   27 | 2011-11-20 | 2013-04-25 |
|    292 |  160 | 2013-04-28 | 2013-08-18 |
|    292 |  163 | 2013-08-18 | NULL       |
|    293 |   18 | 2011-02-04 | NULL       |
|    294 |   49 | 2010-10-19 | NULL       |
|    294 |  117 | 2011-06-13 | 2012-06-04 |
|    295 |   39 | 2010-04-15 | 2011-06-11 |
|    295 |   38 | 2011-06-11 | 2012-05-15 |
|    295 |   39 | 2012-05-15 | NULL       |
|    297 |    2 | 2010-10-19 | 2013-03-26 |
|    298 |   53 | 2010-10-14 | NULL       |
|    300 |   12 | 2000-08-18 | NULL       |
|    303 |   33 | 2010-08-27 | 2012-11-08 |
|    306 |  116 | 2011-05-23 | 2011-08-02 |
|    308 |   68 | 2010-06-20 | 2010-06-30 |
|    308 |   25 | 2010-06-30 | 2010-07-23 |
|    308 |  117 | 2011-10-03 | 2012-06-10 |
|    309 |   10 | 2000-06-04 | NULL       |
|    311 |   48 | 2011-03-15 | 2012-11-20 |
|    311 |   46 | 2012-12-14 | 2013-03-08 |
|    311 |   48 | 2013-03-12 | NULL       |
|    312 |   67 | 2010-09-27 | NULL       |
|    314 |   77 | 2011-06-15 | 2011-07-24 |
|    314 |   87 | 2011-12-15 | 2012-07-30 |
|    314 |   68 | 2013-01-12 | 2013-05-03 |
|    314 |  152 | 2013-05-08 | NULL       |
|    315 |  108 | 2010-12-22 | 2013-05-07 |
|    315 |  151 | 2013-05-07 | NULL       |
|    316 |   18 | 2011-01-26 | 2013-03-03 |
|    317 |   39 | 2010-06-13 | NULL       |
|    318 |   88 | 2010-12-14 | 2011-07-18 |
|    318 |    4 | 2011-07-18 | 2013-01-31 |
|    320 |   25 | 2011-01-02 | 2012-06-15 |
|    321 |   45 | 2011-05-02 | 2012-04-09 |
|    321 |  115 | 2012-04-09 | 2012-06-23 |
|    321 |   29 | 2013-01-07 | 2013-05-30 |
|    321 |   38 | 2013-06-10 | NULL       |
|    322 |   47 | 2010-12-23 | 2012-01-16 |
|    322 |   19 | 2012-03-07 | 2012-12-03 |
|    322 |   68 | 2013-01-12 | 2013-03-28 |
|    322 |   57 | 2013-05-19 | NULL       |
|    323 |   39 | 2011-03-02 | 2011-06-11 |
|    323 |   38 | 2011-06-12 | 2011-06-23 |
|    323 |   64 | 2011-10-11 | 2012-05-04 |
|    323 |   39 | 2012-05-15 | 2012-08-28 |
|    324 |   60 | 2010-08-01 | NULL       |
|    325 |   59 | 2011-09-12 | 2011-11-18 |
|    327 |    4 | 2011-10-26 | 2013-01-31 |
|    328 |   20 | 2010-05-19 | NULL       |
|    328 |   79 | 2011-09-22 | 2012-02-14 |
|    329 |   84 | 2005-01-06 | 2012-05-05 |
|    329 |   64 | 2012-05-05 | 2012-12-04 |
|    330 |   91 | 2012-02-29 | 2012-07-27 |
|    330 |   69 | 2013-01-11 | NULL       |
|    332 |   80 | 2010-09-12 | 2011-07-31 |
|    332 |   75 | 2011-08-01 | 2011-11-01 |
|    332 |   67 | 2012-01-06 | NULL       |
|    334 |   38 | 2011-06-28 | NULL       |
|    335 |   23 | 2011-03-12 | 2011-06-04 |
|    336 |   75 | 2005-03-06 | 2011-11-01 |
|    336 |   48 | 2012-01-31 | NULL       |
|    337 |   45 | 2012-02-28 | 2012-09-03 |
|    339 |   81 | 2010-09-02 | 2012-05-15 |
|    339 |  112 | 2012-10-06 | 2012-10-25 |
|    339 |   57 | 2012-10-30 | NULL       |
|    340 |   65 | 2011-01-08 | 2012-07-13 |
|    340 |    1 | 2012-07-13 | 2013-07-07 |
|    342 |  133 | 2010-06-13 | NULL       |
|    342 |   21 | 2011-02-01 | 2012-03-05 |
|    343 |   40 | 2010-05-21 | 2011-02-16 |
|    343 |   64 | 2011-06-25 | 2012-03-28 |
|    344 |   37 | 2011-07-19 | 2013-02-02 |
|    344 |   64 | 2013-02-02 | NULL       |
|    345 |   89 | 2010-09-01 | NULL       |
|    345 |   23 | 2011-01-09 | 2011-06-04 |
|    346 |  146 | 2011-04-11 | 2011-12-30 |
|    346 |  103 | 2012-01-05 | 2012-03-03 |
|    346 |    5 | 2012-03-03 | 2013-04-09 |
|    346 |  146 | 2013-04-09 | NULL       |
|    348 |   32 | 2011-11-30 | 2012-08-24 |
|    348 |  136 | 2012-10-15 | NULL       |
|    349 |   25 | 2011-11-23 | 2012-06-15 |
|    349 |   48 | 2012-06-19 | NULL       |
|    351 |   60 | 2010-07-26 | NULL       |
|    352 |   86 | 2011-01-01 | 2011-12-02 |
|    353 |  113 | 2010-05-11 | 2011-08-22 |
|    355 |   81 | 2010-06-12 | 2012-05-15 |
|    356 |   91 | 2012-04-13 | 2012-05-20 |
|    356 |   96 | 2012-06-09 | 2012-11-20 |
|    356 |   21 | 2012-11-20 | NULL       |
|    357 |   37 | 2012-05-01 | 2012-12-17 |
|    358 |   40 | 2010-05-22 | NULL       |
|    360 |   48 | 2012-05-02 | 2013-06-20 |
|    362 |  157 | 2010-09-26 | NULL       |
|    362 |   91 | 2012-07-04 | 2012-12-12 |
|    363 |  163 | 2013-08-18 | NULL       |
|    364 |   40 | 2010-03-22 | NULL       |
|    365 |  109 | 2011-05-03 | 2012-11-15 |
|    365 |  102 | 2012-11-15 | 2013-08-19 |
|    366 |   64 | 2011-10-03 | 2012-12-14 |
|    366 |   39 | 2012-12-14 | 2013-08-01 |
|    367 |   34 | 2010-04-02 | 2010-10-22 |
|    367 |  125 | 2012-01-08 | NULL       |
|    369 |   59 | 2010-09-03 | 2012-04-29 |
|    369 |  136 | 2012-05-01 | NULL       |
|    370 |   13 | 2000-07-03 | 2013-08-31 |
|    371 |   65 | 2010-10-18 | 2012-07-13 |
|    371 |    1 | 2012-07-13 | 2013-03-26 |
|    374 |   16 | 2012-01-13 | 2013-01-03 |
|    375 |   60 | 2010-09-18 | NULL       |
|    381 |   11 | 2011-05-05 | NULL       |
|    382 |   45 | 2011-07-14 | NULL       |
|    383 |   37 | 2012-06-01 | 2012-12-17 |
|    384 |   39 | 2010-03-22 | 2013-09-09 |
|    386 |   79 | 2011-09-22 | 2012-08-14 |
|    390 |   81 | 2010-06-05 | 2011-08-01 |
|    391 |   23 | 2011-01-09 | 2011-06-04 |
|    392 |   75 | 2005-04-03 | 2011-11-01 |
|    392 |   48 | 2012-02-03 | NULL       |
|    395 |  128 | 2013-01-20 | NULL       |
|    397 |   77 | 2011-06-15 | 2012-01-18 |
|    401 |   36 | 2010-10-20 | NULL       |
|    402 |   14 | 2000-06-19 | 2013-08-17 |
|    404 |  146 | 2011-04-11 | 2011-12-30 |
|    406 |   68 | 2010-07-21 | 2013-05-03 |
|    409 |   59 | 2010-05-25 | NULL       |
|    410 |    1 | 2011-01-04 | 2013-03-26 |
|    413 |  108 | 2011-03-18 | 2013-05-07 |
|    414 |   20 | 2010-09-22 | 2013-03-18 |
|    414 |   34 | 2013-03-19 | NULL       |
|    416 |   96 | 2012-09-26 | 2012-11-20 |
|    416 |   21 | 2012-11-20 | NULL       |
|    417 |   38 | 2010-09-22 | 2011-09-18 |
|    420 |   31 | 2010-12-10 | 2012-01-07 |
|    420 |   32 | 2012-01-07 | 2012-12-31 |
|    422 |   12 | 2000-07-26 | 2012-11-02 |
|    422 |   14 | 2012-11-02 | NULL       |
|    423 |   46 | 2012-01-06 | 2012-08-05 |
|    427 |  117 | 2011-09-15 | 2012-06-04 |
|    428 |  117 | 2011-09-05 | 2012-06-10 |
|    429 |   67 | 2010-09-19 | NULL       |
|    429 |   91 | 2012-04-13 | 2012-09-13 |
|    433 |   64 | 2013-02-02 | NULL       |
|    434 |   14 | 2000-07-02 | 2012-10-04 |
|    434 |   18 | 2012-10-04 | 2012-12-17 |
|    435 |  103 | 2012-01-09 | 2012-03-03 |
|    435 |    5 | 2012-03-03 | 2013-04-09 |
|    436 |   22 | 2010-03-24 | 2010-08-01 |
|    436 |   34 | 2010-08-21 | 2012-01-18 |
|    442 |   98 | 2010-02-26 | 2011-08-10 |
|    442 |  137 | 2011-08-10 | NULL       |
|    445 |   75 | 2011-08-01 | 2011-11-01 |
|    445 |  115 | 2012-02-28 | 2012-05-03 |
|    445 |   96 | 2012-05-08 | 2012-11-20 |
|    445 |   21 | 2012-11-20 | NULL       |
|    448 |   30 | 2010-03-12 | 2011-09-18 |
|    448 |  136 | 2012-05-07 | NULL       |
|    451 |   95 | 2011-08-03 | 2013-01-09 |
|    451 |  153 | 2013-05-23 | NULL       |
|    452 |   30 | 2012-05-09 | 2013-01-08 |
|    458 |    8 | 2011-06-04 | 2013-07-31 |
|    458 |    1 | 2013-07-31 | NULL       |
|    460 |   19 | 2010-08-24 | NULL       |
|    461 |   84 | 2005-01-09 | 2012-05-05 |
|    461 |   64 | 2012-05-05 | 2012-12-04 |
|    461 |  129 | 2012-12-07 | NULL       |
|    462 |   37 | 2011-06-15 | 2013-02-02 |
|    462 |   64 | 2013-02-02 | NULL       |
|    465 |   97 | 2011-08-16 | 2012-11-16 |
|    465 |  133 | 2013-02-06 | NULL       |
|    468 |   40 | 2010-04-30 | 2012-01-18 |
|    469 |   64 | 2011-06-28 | 2012-12-04 |
|    470 |  149 | 2011-05-03 | NULL       |
|    471 |   75 | 2005-05-10 | 2011-11-01 |
|    471 |   25 | 2012-03-18 | 2012-06-15 |
|    474 |   60 | 2010-08-25 | NULL       |
|    476 |   38 | 2013-04-21 | NULL       |
|    477 |   69 | 2010-02-13 | 2013-01-09 |
|    478 |  113 | 2010-07-23 | 2011-08-22 |
|    480 |  142 | 2012-09-17 | NULL       |
|    481 |   34 | 2012-01-12 | 2013-01-16 |
|    481 |  153 | 2013-05-23 | 2013-09-01 |
|    481 |  165 | 2013-09-01 | NULL       |
|    482 |   16 | 2010-11-20 | 2013-01-03 |
|    488 |   27 | 2011-09-05 | NULL       |
|    490 |   65 | 2010-11-30 | 2012-07-13 |
|    490 |    1 | 2012-07-13 | 2013-07-07 |
|    491 |   64 | 2011-07-10 | 2012-02-01 |
|    492 |    3 | 2010-11-15 | 2012-03-01 |
|    493 |   91 | 2012-04-13 | 2012-05-20 |
|    493 |   96 | 2012-06-04 | 2012-11-20 |
|    493 |   21 | 2012-11-20 | NULL       |
|    495 |   98 | 2010-04-07 | NULL       |
|    496 |   38 | 2010-10-02 | NULL       |
|    497 |  120 | 2003-02-12 | 2011-03-24 |
|    497 |   79 | 2011-03-24 | 2012-08-14 |
|    498 |  123 | 2012-02-09 | 2013-02-09 |
|    499 |    7 | 2011-03-18 | 2013-03-26 |
|    505 |    8 | 2011-04-09 | 2013-07-31 |
|    505 |    4 | 2013-07-31 | NULL       |
|    507 |  121 | 2010-10-16 | 2012-06-03 |
|    508 |   29 | 2012-02-23 | 2013-05-30 |
|    511 |   64 | 2011-09-16 | 2012-02-01 |
|    513 |   25 | 2010-06-30 | 2012-01-28 |
|    514 |  131 | 2011-03-25 | 2011-11-01 |
|    514 |   37 | 2011-11-09 | 2012-09-05 |
|    514 |  106 | 2012-09-07 | 2013-07-25 |
|    515 |   98 | 2010-07-03 | NULL       |
|    516 |   77 | 2011-08-11 | 2012-02-17 |
|    516 |   83 | 2012-03-07 | 2012-05-12 |
|    517 |    2 | 2010-10-05 | 2013-03-26 |
|    520 |   75 | 2005-03-10 | 2011-03-01 |
|    520 |   21 | 2011-03-29 | 2012-03-03 |
|    520 |   96 | 2012-09-26 | 2012-11-20 |
|    520 |   21 | 2012-11-20 | NULL       |
|    527 |  127 | 2011-02-19 | NULL       |
|    529 |   38 | 2010-08-31 | 2011-09-19 |
|    532 |   77 | 2011-07-08 | 2011-11-05 |
|    532 |   79 | 2012-02-25 | 2012-08-14 |
|    532 |   37 | 2012-08-24 | 2013-02-02 |
|    532 |   64 | 2013-02-02 | NULL       |
|    541 |   55 | 2010-09-06 | 2012-02-29 |
|    542 |   83 | 2011-11-08 | 2012-01-27 |
|    542 |   91 | 2012-04-01 | 2012-05-12 |
|    542 |   90 | 2012-10-25 | 2012-11-10 |
|    542 |    6 | 2012-12-31 | 2013-07-23 |
|    547 |   65 | 2010-11-03 | 2011-07-01 |
|    551 |   57 | 2012-11-23 | NULL       |
|    555 |   67 | 2010-09-12 | NULL       |
|    559 |   30 | 2010-08-08 | 2011-03-31 |
|    568 |   79 | 2003-08-17 | 2012-08-06 |
|    568 |   46 | 2012-08-06 | 2013-02-04 |
|    568 |   64 | 2013-02-04 | NULL       |
|    570 |   84 | 2011-11-18 | 2012-05-05 |
|    570 |   64 | 2012-05-05 | 2012-12-04 |
|    572 |   40 | 2010-05-01 | 2013-02-05 |
|    573 |  131 | 2011-03-25 | 2011-07-18 |
|    573 |    4 | 2011-07-18 | 2012-03-14 |
|    573 |   91 | 2012-03-15 | 2012-05-12 |
|    575 |   69 | 2010-02-20 | 2013-09-12 |
|    575 |  166 | 2013-09-13 | NULL       |
|    579 |  118 | 2011-03-20 | NULL       |
|    580 |  135 | 2013-05-13 | NULL       |
|    583 |   55 | 2010-12-18 | 2012-08-02 |
|    583 |   90 | 2012-10-17 | 2012-11-10 |
|    583 |    6 | 2012-11-19 | 2013-07-11 |
|    585 |   32 | 2011-11-30 | 2012-03-01 |
|    586 |   37 | 2011-09-19 | 2012-12-19 |
|    587 |   38 | 2010-08-15 | 2010-10-15 |
|    588 |  127 | 2011-01-27 | 2012-09-24 |
|    588 |   90 | 2013-03-12 | 2013-04-14 |
|    589 |   75 | 2005-02-28 | 2011-11-01 |
|    589 |  156 | 2013-07-01 | NULL       |
|    590 |  159 | 2013-07-24 | NULL       |
|    593 |  120 | 2003-01-02 | 2011-03-24 |
|    593 |   55 | 2011-10-30 | 2012-01-25 |
|    593 |   98 | 2012-03-20 | 2012-07-02 |
|    593 |   83 | 2012-07-02 | 2012-08-30 |
|    593 |   90 | 2012-09-29 | 2012-11-18 |
|    593 |    6 | 2012-11-18 | 2013-03-05 |
|    596 |   90 | 2013-02-14 | 2013-04-22 |
|    596 |   34 | 2013-05-28 | NULL       |
|    597 |   12 | 2000-09-01 | 2013-09-16 |
|    599 |   34 | 2011-09-18 | 2012-01-12 |
|    602 |   11 | 2011-04-02 | NULL       |
|    606 |   89 | 2010-10-19 | NULL       |
|    617 |  123 | 2012-04-02 | 2013-02-09 |
|    618 |   84 | 2005-05-10 | 2012-05-05 |
|    618 |   64 | 2012-05-05 | 2012-12-04 |
|    624 |   88 | 2010-10-17 | 2011-07-18 |
|    624 |    4 | 2011-07-18 | 2012-05-31 |
|    626 |   10 | 2000-08-19 | NULL       |
|    634 |    3 | 2010-10-13 | 2011-03-04 |
|    635 |   39 | 2010-05-22 | NULL       |
|    638 |   69 | 2010-02-10 | NULL       |
|    641 |  123 | 2012-02-09 | 2013-02-09 |
|    642 |   34 | 2010-05-28 | 2010-09-10 |
|    644 |   59 | 2010-05-10 | 2010-12-10 |
|    645 |   20 | 2012-06-29 | NULL       |
|    646 |   68 | 2013-01-27 | 2013-01-31 |
|    649 |   34 | 2011-09-18 | 2012-01-12 |
|    652 |  105 | 2011-07-03 | NULL       |
|    653 |   55 | 2012-09-12 | NULL       |
|    663 |   51 | 2012-05-30 | NULL       |
|    665 |   34 | 2010-05-21 | 2011-05-20 |
|    665 |   37 | 2011-12-07 | 2013-02-02 |
|    667 |   77 | 2011-07-08 | 2012-02-17 |
|    667 |    6 | 2012-11-15 | 2013-08-07 |
|    668 |  121 | 2010-08-01 | 2012-06-03 |
|    668 |   57 | 2013-02-20 | NULL       |
|    676 |   98 | 2012-03-20 | 2012-09-29 |
|    676 |   90 | 2012-09-30 | 2012-11-10 |
|    677 |    8 | 2011-04-17 | 2012-07-14 |
|    677 |   83 | 2012-07-14 | 2012-10-16 |
|    677 |    6 | 2012-10-28 | 2012-11-14 |
|    677 |   57 | 2012-12-04 | 2013-08-20 |
|    681 |  120 | 2003-07-31 | 2011-03-24 |
|    681 |   79 | 2011-03-24 | 2012-08-14 |
|    686 |   37 | 2011-06-15 | 2013-02-02 |
|    689 |  135 | 2011-05-10 | NULL       |
|    693 |    1 | 2010-10-19 | 2011-12-26 |
|    693 |   34 | 2012-01-12 | 2012-04-15 |
|    695 |   88 | 2010-10-15 | 2011-07-18 |
|    704 |  125 | 2011-09-13 | 2012-09-09 |
|    709 |   53 | 2010-08-28 | NULL       |
|    713 |    9 | 2000-09-18 | NULL       |
|    715 |  134 | 2010-07-28 | NULL       |
|    717 |   51 | 2012-03-07 | 2012-11-04 |
|    722 |   15 | 2000-09-15 | NULL       |
|    728 |  135 | 2010-12-11 | NULL       |
|    734 |   59 | 2011-04-07 | 2011-08-28 |
|    739 |    9 | 2000-08-26 | 2012-12-12 |
|    747 |  138 | 2012-09-29 | NULL       |
|    748 |   79 | 2003-07-31 | 2012-08-14 |
|    757 |   32 | 2011-11-30 | 2012-08-08 |
|    757 |  156 | 2013-01-05 | 2013-03-01 |
|    757 |  156 | 2013-08-23 | NULL       |
|    761 |  162 | 2013-08-05 | NULL       |
|    764 |  149 | 2012-07-30 | NULL       |
|    773 |   51 | 2012-02-12 | NULL       |
|    777 |   76 | 2011-04-16 | 2011-08-02 |
|    783 |  104 | 2011-02-17 | NULL       |
|    787 |   68 | 2010-06-06 | 2011-02-24 |
|    787 |   76 | 2011-03-31 | 2011-09-15 |
|    813 |  120 | 2003-07-04 | 2011-03-24 |
|    813 |   79 | 2011-03-24 | 2012-08-14 |
|    828 |   64 | 2011-12-22 | 2012-12-04 |
|    836 |   64 | 2013-02-02 | NULL       |
|    840 |   68 | 2013-01-27 | 2013-05-03 |
|    844 |  102 | 2010-06-04 | 2013-08-19 |
|    865 |   79 | 2003-04-21 | 2012-08-14 |
|    870 |  116 | 2011-05-23 | 2011-08-02 |
|    882 |  110 | 2012-04-15 | 2012-11-06 |
|    882 |  138 | 2013-01-02 | NULL       |
|    884 |   78 | 2011-12-13 | 2012-03-22 |
|    884 |   64 | 2012-08-31 | 2012-12-04 |
|    884 |   19 | 2013-01-29 | NULL       |
|    896 |   75 | 2005-03-20 | 2011-11-01 |
|    904 |  149 | 2011-07-31 | NULL       |
|    906 |   69 | 2010-05-25 | NULL       |
|    910 |   83 | 2011-10-08 | 2012-10-16 |
|    910 |    6 | 2012-11-14 | 2013-07-11 |
|    910 |  158 | 2013-07-14 | NULL       |
|    915 |   95 | 2011-07-06 | 2013-01-28 |
|    915 |  132 | 2013-02-07 | 2013-08-09 |
|    915 |  114 | 2013-08-09 | NULL       |
|    933 |    9 | 2000-09-04 | NULL       |
|    941 |   12 | 2000-10-26 | NULL       |
|    955 |   31 | 2010-11-30 | NULL       |
|    959 |  123 | 2012-02-09 | 2012-05-12 |
|    959 |   96 | 2012-05-16 | 2012-11-20 |
|    969 |   95 | 2011-06-21 | 2013-01-28 |
|    975 |   38 | 2011-02-07 | NULL       |
|    979 |   78 | 2011-08-22 | 2012-01-11 |
|    979 |  114 | 2012-10-08 | NULL       |
|    994 |   47 | 2010-12-19 | 2012-11-03 |
|    994 |   26 | 2012-11-21 | NULL       |
|    998 |  142 | 2013-01-13 | 2013-09-19 |
|   1000 |   34 | 2012-02-19 | 2012-11-13 |
|   1004 |   88 | 2010-12-30 | 2011-07-18 |
|   1004 |    4 | 2011-07-18 | 2012-09-23 |
|   1012 |   81 | 2010-05-09 | 2012-05-15 |
|   1016 |  100 | 2010-12-06 | 2013-01-14 |
|   1018 |  166 | 2012-08-24 | 2013-09-09 |
|   1018 |   39 | 2013-09-09 | NULL       |
|   1023 |  103 | 2010-10-09 | NULL       |
|   1026 |  149 | 2012-02-11 | NULL       |
|   1041 |   68 | 2010-08-04 | 2013-01-12 |
|   1043 |  153 | 2013-05-23 | NULL       |
|   1047 |  135 | 2011-01-18 | NULL       |
|   1058 |  111 | 2011-02-03 | 2012-07-02 |
|   1058 |    5 | 2012-07-02 | 2013-04-09 |
|   1058 |  146 | 2013-04-09 | NULL       |
|   1063 |  117 | 2011-06-17 | 2012-06-03 |
|   1077 |  159 | 2013-07-19 | NULL       |
|   1093 |  158 | 2013-07-14 | 2013-08-03 |
|   1093 |  165 | 2013-08-03 | NULL       |
|   1103 |   89 | 2010-07-25 | NULL       |
|   1105 |   43 | 2011-05-16 | 2013-09-11 |
|   1112 |   55 | 2010-11-18 | NULL       |
|   1134 |  136 | 2010-06-13 | NULL       |
|   1159 |   86 | 2011-09-17 | 2011-12-02 |
|   1160 |  120 | 2003-03-01 | 2011-03-24 |
|   1160 |   79 | 2011-03-24 | 2012-08-14 |
|   1160 |   57 | 2012-10-15 | 2013-07-21 |
|   1170 |    3 | 2011-01-09 | 2011-03-04 |
|   1241 |  153 | 2013-05-23 | NULL       |
|   1274 |   10 | 2000-04-22 | NULL       |
|   1274 |   47 | 2012-03-25 | 2012-11-03 |
|   1301 |   10 | 2000-05-09 | NULL       |
|   1304 |  145 | 2012-06-15 | NULL       |
|   1308 |  162 | 2013-08-05 | NULL       |
|   1346 |   47 | 2012-03-25 | 2012-11-03 |
|   1352 |   12 | 2000-10-29 | 2013-07-26 |
|   1368 |  152 | 2013-04-14 | NULL       |
|   1383 |   34 | 2011-09-18 | 2012-01-12 |
|   1394 |   16 | 2010-10-14 | 2013-01-03 |
|   1394 |   64 | 2013-02-02 | 2013-09-01 |
|   1394 |   17 | 2013-09-01 | NULL       |
|   1408 |   81 | 2010-05-22 | 2012-05-15 |
|   1452 |   69 | 2010-02-07 | NULL       |
|   1458 |   52 | 2012-03-14 | 2013-02-14 |
|   1458 |   64 | 2013-02-14 | NULL       |
|   1467 |  150 | 2010-07-29 | 2013-05-03 |
|   1480 |    4 | 2011-08-03 | NULL       |
|   1487 |  135 | 2010-11-18 | NULL       |
|   1491 |  145 | 2012-04-12 | 2012-08-17 |
|   1503 |    7 | 2011-04-17 | NULL       |
|   1507 |    4 | 2011-09-05 | NULL       |
|   1525 |   13 | 2000-03-24 | 2013-08-31 |
|   1526 |    9 | 2000-05-11 | NULL       |
|   1544 |   13 | 2000-04-07 | 2012-05-16 |
|   1557 |    9 | 2000-05-16 | NULL       |
|   1607 |    9 | 2000-05-10 | 2013-05-28 |
|   1625 |   36 | 2011-05-22 | NULL       |
|   1642 |   12 | 2000-08-23 | NULL       |
|   1649 |   96 | 2012-09-26 | 2012-11-20 |
|   1649 |   21 | 2012-11-20 | NULL       |
|   1652 |    3 | 2012-08-21 | 2013-06-21 |
|   1652 |   17 | 2013-09-01 | NULL       |
|   1653 |   53 | 2010-09-17 | 2013-08-01 |
|   1653 |   57 | 2013-08-01 | NULL       |
|   1655 |   83 | 2012-03-07 | 2012-07-01 |
|   1655 |   90 | 2012-10-02 | 2013-04-19 |
|   1655 |   39 | 2013-04-19 | 2013-09-23 |
|   1655 |  135 | 2013-09-23 | NULL       |
|   1656 |   68 | 2013-04-02 | 2013-05-01 |
|   1656 |  156 | 2013-05-01 | 2013-07-20 |
|   1656 |  159 | 2013-07-20 | NULL       |
|   1658 |   10 | 2000-06-27 | NULL       |
|   1659 |   13 | 2000-09-24 | NULL       |
|   1660 |   15 | 2000-06-06 | NULL       |
|   1661 |   15 | 2000-05-09 | NULL       |
|   1662 |   14 | 2000-09-04 | NULL       |
|   1663 |   14 | 2000-10-19 | 2013-08-18 |
|   1663 |   20 | 2013-08-18 | NULL       |
|   1665 |   14 | 2000-08-13 | NULL       |
|   1666 |   11 | 2011-04-20 | NULL       |
|   1680 |    8 | 2011-05-04 | 2013-07-31 |
|   1682 |    8 | 2011-06-09 | 2013-07-31 |
|   1682 |    7 | 2013-07-31 | NULL       |
|   1685 |   10 | 2000-04-22 | NULL       |
|   1686 |   31 | 2012-05-18 | NULL       |
|   1690 |   10 | 2000-04-27 | NULL       |
|   1691 |   10 | 2000-04-11 | NULL       |
|   1692 |   15 | 2000-07-07 | NULL       |
|   1693 |   10 | 2000-08-02 | NULL       |
|   1697 |   11 | 2011-04-08 | NULL       |
|   1700 |  124 | 2012-07-06 | 2012-09-09 |
|   1704 |   17 | 2010-02-24 | NULL       |
|   1704 |  124 | 2012-05-19 | 2012-12-23 |
|   1706 |   11 | 2011-05-09 | NULL       |
|   1707 |   15 | 2000-07-30 | 2013-09-17 |
|   1708 |    9 | 2013-06-26 | NULL       |
|   1709 |   10 | 2000-05-22 | NULL       |
|   1717 |   13 | 2000-04-11 | NULL       |
|   1737 |    4 | 2011-10-12 | 2012-04-15 |
|   1756 |   16 | 2012-03-01 | 2013-01-03 |
|   1756 |   12 | 2013-03-13 | NULL       |
|   1760 |   11 | 2011-05-12 | NULL       |
|   1779 |   57 | 2013-04-16 | NULL       |
|   1781 |   81 | 2010-05-11 | 2012-05-15 |
|   1793 |   11 | 2012-04-12 | NULL       |
|   1794 |    8 | 2011-03-31 | 2013-07-31 |
|   1795 |    3 | 2011-01-16 | 2013-06-23 |
|   1813 |   93 | 2012-04-01 | 2012-09-11 |
|   1813 |  156 | 2012-10-24 | 2013-01-02 |
|   1813 |  140 | 2013-03-09 | NULL       |
|   1884 |  155 | 2013-04-26 | NULL       |
|   1888 |  138 | 2012-09-10 | NULL       |
|   1893 |  150 | 2010-08-23 | NULL       |
|   1909 |  102 | 2010-05-12 | 2013-08-19 |
|   1948 |  138 | 2012-09-10 | NULL       |
|   1974 |   15 | 2000-05-13 | NULL       |
|   2006 |    4 | 2011-09-15 | 2013-07-31 |
|   2020 |   47 | 2011-07-14 | 2012-11-03 |
|   2020 |   17 | 2012-12-19 | 2013-07-31 |
|   2032 |    1 | 2011-11-13 | NULL       |
|   2049 |   57 | 2012-10-15 | 2013-08-16 |
|   2049 |  114 | 2013-08-16 | NULL       |
|   2088 |  102 | 2012-10-24 | 2013-08-19 |
|   2138 |  145 | 2012-03-31 | 2013-06-27 |
|   2138 |   64 | 2013-06-27 | NULL       |
|   2140 |   57 | 2013-05-01 | NULL       |
|   2155 |  155 | 2013-04-10 | NULL       |
|   2209 |    1 | 2010-12-10 | NULL       |
|   2211 |    8 | 2011-06-03 | 2013-07-31 |
|   2211 |   13 | 2013-09-01 | NULL       |
|   2220 |    6 | 2012-11-23 | 2013-07-11 |
|   2221 |   83 | 2012-03-07 | 2012-10-16 |
|   2221 |    6 | 2012-10-28 | 2013-08-07 |
|   2270 |    6 | 2012-11-14 | 2013-08-07 |
|   2288 |  114 | 2013-09-17 | NULL       |
|   2417 |   93 | 2010-08-11 | 2012-06-27 |
|   2494 |   22 | 2013-03-24 | NULL       |
|   2565 |   15 | 2000-06-21 | NULL       |
|   2567 |   14 | 2000-06-20 | NULL       |
|   2568 |    9 | 2013-03-13 | NULL       |
|   2572 |   13 | 2000-03-29 | 2013-09-01 |
|   2573 |   14 | 2000-08-19 | 2013-09-01 |
|   2573 |   17 | 2013-09-01 | NULL       |
|   2574 |    2 | 2010-11-09 | NULL       |
|   3140 |  138 | 2012-09-10 | NULL       |
|   3277 |   36 | 2010-11-12 | NULL       |
|   3557 |    6 | 2013-03-05 | 2013-08-07 |
|   4077 |  156 | 2013-08-23 | NULL       |
|   4098 |  135 | 2010-12-02 | NULL       |
|   4115 |  138 | 2012-09-10 | NULL       |
